t com min rx ry rz
7.6 -2.35243 -4.055395 349.9112 110.7628 15.42227
7.62 -2.373406 -4.106107 354.5149 108.0165 17.47579
7.64 -2.386822 -4.134581 358.8737 104.9291 19.28903
7.66 -2.393883 -4.154431 2.959348 102.5894 20.85483
7.68 -2.393789 -4.161391 6.535614 100.9428 22.37061
7.7 -2.387382 -4.152317 10.30692 99.22929 23.74676
7.72 -2.37715 -4.132561 13.60828 97.65125 24.96343
7.74 -2.361397 -4.102294 16.69849 96.61195 26.23692
7.76 -2.339185 -4.056024 20.0499 94.59737 27.1671
7.78 -2.306385 -3.988755 23.89905 94.34532 28.65936
7.8 -2.267683 -3.913037 27.27879 94.39333 30.32568
7.82 -2.227259 -3.840949 29.79945 95.29881 32.39167
7.84 -2.18132 -3.75738 32.37715 95.1422 33.88053
7.86 -2.127507 -3.660321 35.0465 94.56077 35.20879
7.88 -2.064485 -3.547023 37.86255 94.44275 36.8061
7.9 -2.004884 -3.454081 39.41942 95.88067 39.42909
7.92 -1.930528 -3.322931 41.91887 98.00658 42.50265
7.94 -1.858566 -3.194016 44.07954 100.4627 45.8769
7.96 -1.771579 -3.031 47.05 102.1128 48.73666
7.98 -1.676791 -2.843356 50.51171 103.9461 51.83869
8 -1.576371 -2.639954 54.37684 104.9457 54.38202
8.02 -1.47613 -2.456141 56.8421 107.6112 58.32294
8.04 -1.370069 -2.250614 60.18956 109.1885 61.35258
8.059999 -1.262014 -2.059161 62.89848 110.4459 64.12392
8.08 -1.145035 -1.846775 66.18208 111.4922 66.73502
8.099999 -1.019365 -1.631248 69.23064 112.6891 69.50751
8.12 -0.8818796 -1.409746 71.65319 115.6516 73.96388
8.139999 -0.7388392 -1.179458 73.99766 120.031 79.80856
8.16 -0.5891477 -0.9324069 76.49353 126.7222 87.93542
8.179999 -0.4255623 -0.7737156 78.57757 138.1694 100.7857
8.2 -0.2559901 -0.6273705 80.1179 154.1716 118.1856
8.22 -0.07943837 -0.4696822 80.62009 173.8306 139.2357
8.24 0.102527 -0.2919918 80.25797 193.5473 160.3336
8.26 0.2847114 -0.1022893 79.12103 210.0657 178.2299
8.28 0.4636708 -0.00229466 77.29401 222.4435 191.9889
8.3 0.6387063 0.08471274 74.99 231.1865 202.1174
8.32 0.8098177 0.1707153 72.39812 237.2929 209.6159
8.34 0.9770051 0.2560233 69.63068 241.6069 215.3307
8.36 1.140268 0.3409328 66.75302 244.703 219.8387
8.38 1.299608 0.4257259 63.80402 246.9531 223.5141
8.4 1.455023 0.5106683 60.8079 248.5985 226.6008
